編號,屋齡,建物移轉面積平方公尺,主要用途,主要建材,建築完成日期,總層數,建物分層
RPOPMLMLKHMFFAF57CA,17,10.29,見其他登記事項,鋼筋混凝土造,89年1月24日,十二層,
RPQPMLMLKHMFFAF77CA,18,91.23,住家用,鋼筋混凝土造,87年10月3日,八層,二層
RPQPMLMLKHMFFAF77CA,18,19.36,見其他登記事項,鋼筋混凝土造,87年10月3日,八層,
RPQPMLMLKHMFFAF77CA,18,21.91,見其他登記事項,鋼筋混凝土造,87年10月3日,八層,
RPUSMLKLKHMFFAF28CA,,106.32,商業用,鋼筋混凝土造,,五層,一層 平台 騎樓
RPUSMLKLKHMFFAF28CA,,106.32,住家用,鋼筋混凝土造,,五層,二層 陽台
RPUSMLKLKHMFFAF28CA,,106.32,住家用,鋼筋混凝土造,,五層,三層 陽台
RPUSMLKLKHMFFAF28CA,,106.32,住家用,鋼筋混凝土造,,五層,四層 陽台
RPUSMLKLKHMFFAF28CA,,106.32,住家用,鋼筋混凝土造,,五層,五層 陽台
RPVNMLLLKHMFFAF97CA,22,6.56,共有部份,鋼筋混凝土造,83年12月8日,十五層,
RPVNMLLLKHMFFAF97CA,22,77.71,住家用,鋼筋混凝土造,83年12月8日,十五層,八層
RPVNMLLLKHMFFAF97CA,22,5.03,共有部份,鋼筋混凝土造,83年12月8日,十五層,
RPVNMLLLKHMFFAF97CA,22,2.36,商業用,鋼筋混凝土造,83年12月8日,十五層,地下一層
RPVNMLLLKHMFFAF97CA,22,.00,共有部份,鋼筋混凝土造,83年12月8日,十五層,
RPSNMLMLKHMFFAF77CA,22,24.33,共有部份,鋼筋混凝土造,84年1月21日,十九層,
RPSNMLMLKHMFFAF77CA,22,92.49,住家用,鋼筋混凝土造,84年1月21日,十九層,四層
RPSNMLMLKHMFFAF77CA,22,.22,共有部份,鋼筋混凝土造,84年1月21日,十九層,
RPSNMLMLKHMFFAF77CA,22,1.45,見使用執照,鋼筋混凝土造,84年1月21日,十九層,地下一層
RPTNMLMLKHMFFAF87CA,10,60.04,住家用,鋼筋混凝土造,96年5月23日,十五層,八層
RPTNMLMLKHMFFAF87CA,10,14.35,共有部份,鋼筋混凝土造,96年5月23日,十五層,
RPTNMLMLKHMFFAF87CA,10,9.10,共有部份,鋼筋混凝土造,96年5月23日,十五層,
RPUPMLRKLHMFFAF68CA,,70.85,住家用,加強磚造,,四層,二層
RPRNMLNJLHMFFAF67CA,18,122.44,住家用,鋼筋混凝土造,87年11月11日,二十二層,十二層
