鄉鎮市區,租賃標的,土地區段位置或建物區門牌,租賃總面積平方公尺,都市土地使用分區,非都市土地使用分區,非都市土地使用編定,租賃年月日,租賃筆棟數,租賃層次,總樓層數,建物型態,主要用途,主要建材,建築完成年月,租賃總面積平方公尺,建物現況格局-房,建物現況格局-廳,建物現況格局-衛,建物現況格局-隔間,有無管理組織,有無附傢俱,總額元,單價每平方公尺,車位類別,租賃總面積平方公尺,租金總額元,備註,編號
中山區,建物,臺北市中山區復興北路31~60號,0.0,商,,,1060124,土地0建物1車位0,四層,12,辦公商業大樓,商業用,鋼筋混凝土造,0690729,327.99,0,0,0,無,有,無,125000,381,,0.0,0,,RPQOMLQKKHMFFCA87CC
中山區,建物,臺北市中山區敬業二路69巷31~60號,0.0,商,,,1060125,土地0建物1車位0,八層,10,套房(1房1廳1衛),見其他登記事項,鋼筋混凝土造,0961218,31.369999999999997,1,1,1,有,有,無,17000,542,,0.0,0,,RPROMLQKKHMFFCA97CC
中山區,建物,臺北市中山區松江路121~150號,0.0,商,,,1060125,土地0建物1車位2,六層,15,辦公商業大樓,商業用,鋼筋混凝土造,0750204,901.61,0,0,0,無,有,無,494025,548,坡道平面,66.9,0,,RPSOMLQKKHMFFCA08CC
內湖區,建物,臺北市內湖區陽光街345巷1~30號,0.0,工,,,1060214,土地0建物1車位1,四層,6,廠辦,工業用,鋼筋混凝土造,0861106,474.2,0,0,0,無,有,無,153600,324,坡道平面,35.52,0,,RPOPMLQKKHMFFCA77CC
中山區,建物,臺北市中山區林森北路361~390號,0.0,商,,,1060208,土地0建物1車位0,十層,18,住宅大樓(11層含以上有電梯),商業用,鋼筋混凝土造,0980916,181.45,2,2,2,有,有,有,72000,397,,0.0,0,,RPPPMLQKKHMFFCA87CC
中山區,建物,臺北市中山區松江路100巷1~30號,0.0,住,,,1060206,土地0建物1車位0,四層,6,套房(1房1廳1衛),住家用,鋼筋混凝土造,0711209,42.98,0,0,0,無,有,有,37800,879,,0.0,0,1)租金含稅2)此案為部分出租，租賃面積以現況為準,RPQPMLQKKHMFFCA97CC
中山區,建物,臺北市中山區松江路330巷31~60號,0.0,住,,,1060131,土地0建物1車位0,九層,9,套房(1房1廳1衛),住家用,鋼筋混凝土造,0961207,41.93,1,1,1,有,有,無,21000,501,,0.0,0,,RPSPMLQKKHMFFCA18CC
中山區,建物,臺北市中山區新生北路二段68巷1~30號,0.0,商,,,1060127,土地0建物1車位0,七層,7,套房(1房1廳1衛),商業用,鋼筋混凝土造,0670505,45.79,1,1,1,有,有,無,20000,437,,0.0,0,,RPTPMLQKKHMFFCA28CC
中山區,建物,臺北市中山區林森北路61~90號,0.0,商,,,1060208,土地0建物1車位0,七層,14,住宅大樓(11層含以上有電梯),商業用,鋼筋混凝土造,0961106,200.48,4,2,2,有,有,有,74800,373,,0.0,0,租金內含管理費。,RPXPMLQKKHMFFCA68CC
中山區,建物,臺北市中山區南京東路二段91~120號,0.0,商,,,1060201,土地0建物1車位0,十二層,18,套房(1房1廳1衛),住家用,見其他登記事項,0990917,68.11,1,1,1,有,有,有,38000,558,,0.0,0,,RPOQMLQKKHMFFCA87CC
中山區,建物,臺北市中山區建國北路一段61~90號,0.0,商,,,1060125,土地0建物2車位3,十一層,13,辦公商業大樓,商業用,鋼筋混凝土造,0851207,595.5,4,0,0,有,有,有,318683,535,坡道平面,0.0,0,,RPSQMLQKKHMFFCA28CC
大安區,建物,臺北市大安區臥龍街181~210號,0.0,住,,,1060101,土地0建物1車位0,六層,9,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,0971009,126.97,4,2,2,有,有,無,40000,315,,0.0,0,,RPUNMLQKKHMFFFA48CC
大安區,建物,臺北市大安區和平東路一段199巷1~30號,0.0,住,,,1060201,土地0建物1車位0,六層,7,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,0951228,99.86000000000001,3,2,1,有,有,有,60000,601,,0.0,0,租金含管理費,RPVNMLQKKHMFFFA58CC
中山區,建物,臺北市中山區伊通街1~30號,0.0,商,,,1060203,土地0建物1車位0,二層,13,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,1020509,127.02,3,2,2,有,有,有,70000,551,,0.0,0,租金含管理費,RPXNMLRKKHMFFCA58CC
中山區,建物,臺北市中山區林森北路571~600號,0.0,商,,,1060205,土地0建物1車位0,十二層,13,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,1000726,105.34,1,2,1,有,有,有,65000,617,,0.0,0,租金含管理費、IP電視費用。,RPOOMLRKKHMFFCA77CC
中山區,建物,臺北市中山區基湖路121~150號,0.0,住,,,1060216,土地0建物1車位1,二層,7,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,0981201,236.15,3,2,2,有,有,有,83000,351,升降機械,20.8,0,,RPSOMLRKKHMFFCA18CC
中山區,建物,臺北市中山區民權西路9巷1~30號,0.0,商,,,1060205,土地0建物1車位0,六層,14,住宅大樓(11層含以上有電梯),見其他登記事項,鋼筋混凝土造,1011112,72.04,2,2,1,有,有,有,45000,625,,0.0,0,租金含管理費。,RPUOMLRKKHMFFCA38CC
中山區,建物,臺北市中山區農安街241~270號,0.0,住,,,1060214,土地0建物1車位0,七層,7,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,0720929,105.56,3,2,2,有,無,有,34000,322,,0.0,0,,RPXOMLRKKHMFFCA68CC
中山區,建物,臺北市中山區敬業一路121~150號,0.0,商,,,1060215,土地0建物1車位1,一層,11,住宅大樓(11層含以上有電梯),見其他登記事項,鋼筋混凝土造,0990512,246.04000000000002,3,2,2,有,有,有,105000,427,坡道平面,51.92,0,,RPOPMLRKKHMFFCA87CC
內湖區,建物,臺北市內湖區安泰街61~90號,0.0,住,,,1060215,土地0建物1車位0,六層,6,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,0970619,142.11,4,3,3,有,有,有,30000,211,,0.0,0,,RPOQMLRKKHMFFCA97CC
中山區,房地(土地+建物),臺北市中山區民生東路一段31~60號,53.4,商,,,1060215,土地1建物1車位0,四層,11,辦公商業大樓,商業用,鋼筋混凝土造,0830110,283.63,0,0,0,無,有,有,86000,303,,0.0,0,部份承租,RPRQMLRKKHMFFCA28CC
士林區,建物,臺北市士林區中山北路六段157巷1~30號,0.0,工,,,1060201,土地0建物1車位0,十二層,15,住宅大樓(11層含以上有電梯),見其他登記事項,鋼筋混凝土造,0971002,92.53999999999999,2,2,1,有,有,有,60000,648,,0.0,0,租金含管理費。,RPSNMLRKKHMFFEA28CC
士林區,建物,臺北市士林區中山北路七段14巷31弄1~30號,0.0,住,,,1060201,土地0建物1車位0,四層,9,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,0990211,218.64,3,2,3,有,有,有,105000,480,,0.0,0,,RPVNMLRKKHMFFEA58CC
北投區,建物,臺北市北投區公館路271~300號,0.0,住,,,1060101,土地0建物1車位0,五層,6,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,0820804,98.23,3,2,2,有,有,無,22000,224,,0.0,0,,RPRPMLRKKHMFFEA38CC
北投區,建物,臺北市北投區大同街211~240號,0.0,住,,,1060101,土地0建物1車位1,十四層,14,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,0940222,208.01999999999998,5,2,3,有,有,無,100000,481,坡道平面,36.17,0,,RPSPMLRKKHMFFEA48CC
北投區,建物,臺北市北投區裕民六路114巷36弄1~30號,0.0,住,,,1060201,土地0建物1車位0,三層,4,套房(1房1廳1衛),住家用,鋼筋混凝土造,0650506,59.28,1,1,1,有,無,無,17000,287,,0.0,0,,RPWPMLRKKHMFFEA88CC
大同區,建物,臺北市大同區太原路61~90號,0.0,商,,,1060207,土地0建物1車位0,六層,14,套房(1房1廳1衛),住家用,鋼筋混凝土造,0971211,37.36,1,1,1,有,有,有,18000,482,,0.0,0,,RPPNMLRKKHMFFBA67CC
大同區,建物,臺北市大同區太原路61~90號,0.0,商,,,1060210,土地0建物1車位0,七層,14,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,0971211,96.47,2,2,1,有,有,有,37500,389,,0.0,0,,RPQNMLRKKHMFFBA77CC
萬華區,建物,臺北市萬華區康定路151~180號,0.0,商,,,1060216,土地0建物1車位0,七層,10,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,0710512,132.09,4,2,3,有,有,有,33000,250,,0.0,0,,RPSNMLRKKHMFFBA97CC
信義區,建物,臺北市信義區基隆路二段121~150號,0.0,住,,,1060105,土地0建物1車位0,十層,12,住宅大樓(11層含以上有電梯),商業用,鋼筋混凝土造,0790119,50.26,1,1,1,有,無,有,20000,398,,0.0,0,,RPRNMLRKKHMFFDA08CC
