編號,屋齡,建物移轉面積平方公尺,主要用途,主要建材,建築完成日期,總層數,建物分層
RPPNMLMLKHMFFCQ78CA,40,95.29,住商用,鋼筋混凝土加強磚造,66年4月29日,二層,一層 二層 騎樓
RPTNMLKLKHMFFBQ88CA,12,18.19,住家用,鋼筋混凝土造,94年1月3日,五層,四層
RPTNMLKLKHMFFBQ88CA,12,1.79,見其他登記事項,鋼筋混凝土造,94年1月3日,五層,
RPTNMLKLKHMFFBQ88CA,12,2.72,見其他登記事項,鋼筋混凝土造,94年1月3日,五層,
RPWNMLLJLHMFFCQ76DA,24,156.93,住商用,鋼筋混凝土造,81年10月7日,三層,一層 二層 三層 電梯樓梯間
RPPNMLLLKHMFFBQ58CA,33,116.20,住家用,鋼筋混凝土加強磚造,73年5月26日,三層,一層 二層 三層
RPPNMLNJLHMFFCQ78CA,23,167.52,住商用,鋼筋混凝土造,82年10月12日,三層,一層 二層 三層 電梯樓梯間
RPXNMLNKLHMFFCQ07CA,,191.96,見其他登記事項,鋼筋混凝土造,105年8月17日,三層,一層 二層 三層 見其他登記事項
RPOOMLNKLHMFFCQ88CA,,191.96,見其他登記事項,鋼筋混凝土造,105年8月17日,三層,一層 二層 三層 見其他登記事項
RPPOMLNKLHMFFCQ98CA,,191.96,見其他登記事項,鋼筋混凝土造,105年8月17日,三層,一層 二層 三層 見其他登記事項
RPQOMLNKLHMFFCQ09CA,,215.23,見其他登記事項,鋼筋混凝土造,105年8月17日,三層,一層 二層 三層 見其他登記事項
RPROMLNKLHMFFCQ56CA,,216.26,見其他登記事項,鋼筋混凝土造,105年8月17日,三層,一層 二層 三層 見其他登記事項
RPSOMLNKLHMFFCQ66CA,,235.72,見其他登記事項,鋼筋混凝土造,105年8月17日,三層,一層 二層 三層 見其他登記事項
RPQNMLLJLHMFFCQ68CA,36,111.56,住家用,鋼筋混凝土加強磚造,70年4月1日,二層,一層 二層 電梯樓梯間
RPXNMLMLKHMFFDQ07CA,11,16.15,見其他登記事項,鋼筋混凝土造,94年8月15日,五層,一層
RPXNMLMLKHMFFDQ07CA,11,7.19,見其他登記事項,鋼筋混凝土造,94年8月15日,五層,
RPVNMLMLKHMFFDQ86CA,12,120.13,住家用,鋼筋混凝土造,93年11月3日,三層,一層 二層 三層
RPRNMLQJLHMFFDQ76CA,,171.79,住家用,鋼筋混凝土造,105年8月2日,三層,一層 二層 三層 見其他登記事項
RPSNMLQJLHMFFDQ86CA,,171.79,住家用,鋼筋混凝土造,105年8月2日,三層,一層 二層 三層 見其他登記事項
RPTNMLQJLHMFFDQ96CA,,171.79,住家用,鋼筋混凝土造,105年8月2日,三層,一層 二層 三層 見其他登記事項
RPRNMLPKLHMFFDQ76CA,32,163.80,住家用,見其他登記事項,73年8月10日,一層,一層
RPPNMLLKLHMFFDQ78CA,23,33.00,見其他登記事項,鋼筋混凝土造,82年10月6日,九層,六層
RPPNMLLKLHMFFDQ78CA,23,1.95,見其他登記事項,鋼筋混凝土造,82年10月6日,九層,
RPPNMLLKLHMFFDQ78CA,23,5.20,見其他登記事項,鋼筋混凝土造,82年10月6日,9,
RPPNMLLKLHMFFDQ78CA,23,10.70,見其他登記事項,鋼筋混凝土造,82年10月6日,九層,
RPSNMLQKLHMFFDQ96CA,28,91.60,住家用,鋼筋混凝土加強磚造,77年12月7日,二層,一層 二層
RPVNMLQJLHMFFDQ17CA,,172.86,住家用,鋼筋混凝土造,105年8月2日,三層,一層 二層 三層 見其他登記事項
RPRNMLNLKHMFFDQ56CA,13,17.00,見其他登記事項,鋼筋混凝土造,93年6月9日,五層,二層
RPTOMLNKLHMFFCQ76CA,,190.67,見其他登記事項,鋼筋混凝土造,105年8月17日,三層,一層 二層 三層 見其他登記事項
RPUOMLNKLHMFFCQ86CA,,208.07,見其他登記事項,鋼筋混凝土造,105年8月17日,三層,一層 二層 三層 見其他登記事項
RPVOMLNKLHMFFCQ96CA,,193.76,見其他登記事項,鋼筋混凝土造,105年8月17日,三層,一層 二層 三層 見其他登記事項
RPWOMLNKLHMFFCQ07CA,,174.34,見其他登記事項,鋼筋混凝土造,105年8月17日,三層,一層 二層 三層 見其他登記事項
RPQNMLMLKHMFFCQ88CA,14,100.04,見其他登記事項,鋼筋混凝土造,91年7月25日,五層,五層
RPRNMLMLKHMFFCQ56EA,23,186.59,住商用,鋼筋混凝土造,82年11月16日,三層,一層 二層 三層 電梯樓梯間
RPSNMLMLKHMFFCQ09CA,21,184.93,住商用,鋼筋混凝土造,84年7月3日,四層,一層 二層 三層 四層
RPPNMLOJLHMFFBQ78CA,1,163.02,見其他登記事項,鋼筋混凝土造,105年4月27日,三層,一層 二層 三層 見其他登記事項
RPQNMLNKLHMFFBQ88CA,36,108.58,住商用,加強磚造,69年11月14日,二層,一層 二層 騎樓
