編號,土地區段位置,土地移轉面積平方公尺,使用分區或編定
RPUNMLSJLHMFFAU37CA,富國段,134.00,都市：住
RPROMLLLKHMFFAU56CA,林森段,161.54,都市：住
SPROMLLLKHMFFAU66CA,林森段,86.00,都市：住
RPQNMLMLKHMFFAU09CA,民意段,23.38,都市：住
RPQNMLNLKHMFFAU56CA,福安段,8.00,都市：其他
RPQNMLNLKHMFFAU56CA,福安段,76.00,都市：住
RPSNMLLJLHMFFAU09CA,嘉新段,45.00,都市：農
RPXNMLLJLHMFFAU96CA,豐山段,70.40,非都市：鄉村區 ; 非都市編定：乙種建築用地
RPSOMLLJLHMFFAU56CA,主商段,91.00,都市：商
RPSOMLLJLHMFFAU56CA,主商段,3.00,都市：其他
RPVNMLMLLHMFFCU27CA,玉城段,42.38,都市：其他
RPWNMLMLLHMFFCU37CA,玉城段,42.38,都市：其他
RPXNMLMLLHMFFCU47CA,玉城段,42.38,都市：其他
RPOOMLMLLHMFFCU66CA,玉城段,42.38,都市：其他
RPPOMLMLLHMFFCU76CA,玉城段,42.38,都市：其他
RPPNMLNLKHMFFBU76EA,太巴塱段,111.38,非都市：鄉村區 ; 非都市編定：乙種建築用地
RPPNMLNLKHMFFBU76EA,太巴塱段,74.04,非都市：鄉村區 ; 非都市編定：乙種建築用地
RPOPMLKKLHMFFAU88CA,東昌段,34.21,非都市：一般農業區 ; 非都市編定：農牧用地
RPOPMLKKLHMFFAU88CA,東昌段,175.60,非都市：一般農業區 ; 非都市編定：農牧用地
RPQNMLLLKHMFFBU09CA,馬佛段,1777.10,非都市：一般農業區 ; 非都市編定：農牧用地
RPPNMLMLKHMFFBU09CA,北林段,5044.65,非都市：特定農業區 ; 非都市編定：農牧用地
RPWOMLRKLHMFFAU67CA,萬壽段一小段,200.00,非都市：鄉村區 ; 非都市編定：乙種建築用地
RPWOMLRKLHMFFAU67CA,萬壽段一小段,12.00,非都市：鄉村區 ; 非都市編定：乙種建築用地
RPXOMLRKLHMFFAU77CA,萬壽段一小段,403.00,非都市：鄉村區 ; 非都市編定：乙種建築用地
RPOPMLRKLHMFFAU96CA,萬壽段一小段,402.00,非都市：鄉村區 ; 非都市編定：乙種建築用地
RPPPMLRKLHMFFAU07CA,萬壽段一小段,207.00,非都市：鄉村區 ; 非都市編定：乙種建築用地
RPUOMLRKLHMFFAU47CA,萬壽段一小段,208.00,非都市：鄉村區 ; 非都市編定：乙種建築用地
RPUOMLRKLHMFFAU47CA,萬壽段一小段,29.00,非都市：鄉村區 ; 非都市編定：乙種建築用地
RPRNMLMLKHMFFCU96EA,舊田段,668.24,非都市：山坡地保育區 ; 非都市編定：農牧用地
RPRNMLMLKHMFFCU96EA,舊田段,2116.34,非都市：山坡地保育區 ; 非都市編定：農牧用地
RPPNMLMLKHMFFAU56EA,德姆南段,83.44,都市：其他
RPQNMLMLKHMFFCU66CA,萬寧段,1584.93,非都市：特定農業區 ; 非都市編定：農牧用地
RPQNMLMLKHMFFCU66CA,萬寧段,2676.88,非都市：特定農業區 ; 非都市編定：農牧用地
RPSNMLMLKHMFFCU86CA,玉城段,37.00,都市：住
RPSNMLMLKHMFFCU86CA,玉城段,869.00,都市：住
RPUNMLNLKHMFFAU96CA,樹林段,84.16,非都市：一般農業區 ; 非都市編定：甲種建築用地
RPVNMLOLKHMFFAU17CA,宜昌段,127.00,都市：住
RPWNMLMLKHMFFAU07CA,道拉斯段,1175.02,非都市：一般農業區 ; 非都市編定：農牧用地
RPQNMLTJLHMFFAU07CA,民意段,42.76,都市：住
RPXNMLMJLHMFFAU07CA,加灣段,1510.00,非都市：一般農業區 ; 非都市編定：農牧用地
RPTNMLRKLHMFFAU27CA,萬壽段一小段,298.00,非都市：鄉村區 ; 非都市編定：乙種建築用地
RPUNMLRKLHMFFAU37CA,萬壽段一小段,598.00,非都市：鄉村區 ; 非都市編定：乙種建築用地
RPVNMLRKLHMFFAU47CA,萬壽段一小段,45.00,非都市：鄉村區 ; 非都市編定：乙種建築用地
RPVNMLRKLHMFFAU47CA,萬壽段一小段,414.00,非都市：鄉村區 ; 非都市編定：乙種建築用地
RPWNMLRKLHMFFAU57CA,萬壽段一小段,18.00,非都市：鄉村區 ; 非都市編定：乙種建築用地
RPWNMLRKLHMFFAU57CA,萬壽段一小段,402.00,非都市：鄉村區 ; 非都市編定：乙種建築用地
RPOOMLRKLHMFFAU86CA,萬壽段一小段,40.00,非都市：鄉村區 ; 非都市編定：乙種建築用地
RPOOMLRKLHMFFAU86CA,萬壽段一小段,409.00,非都市：鄉村區 ; 非都市編定：乙種建築用地
RPPOMLRKLHMFFAU96CA,萬壽段一小段,400.00,非都市：鄉村區 ; 非都市編定：乙種建築用地
RPQOMLRKLHMFFAU07CA,萬壽段一小段,399.00,非都市：鄉村區 ; 非都市編定：乙種建築用地
RPROMLRKLHMFFAU17CA,萬壽段一小段,212.00,非都市：鄉村區 ; 非都市編定：乙種建築用地
RPROMLRKLHMFFAU17CA,萬壽段一小段,27.00,非都市：鄉村區 ; 非都市編定：乙種建築用地
RPSOMLRKLHMFFAU27CA,萬壽段一小段,202.00,非都市：鄉村區 ; 非都市編定：乙種建築用地
RPSOMLRKLHMFFAU27CA,萬壽段一小段,11.00,非都市：鄉村區 ; 非都市編定：乙種建築用地
RPVOMLTJLHMFFAU67CA,宜安段,25.87,都市：住
RPSNMLRJLHMFFAU07CA,太昌段,112.00,都市：住
RPXNMLSJLHMFFAU67CA,慈惠段一小段,30.73,都市：住
RPXNMLSJLHMFFAU67CA,慈惠段一小段,77.85,都市：住
RPOOMLSJLHMFFAU86CA,吳全段,19.74,都市：農
RPOOMLSJLHMFFAU86CA,吳全段,34.05,都市：農
RPOOMLSJLHMFFAU86CA,吳全段,31.13,都市：農
RPSOMLSJLHMFFAU27CA,大湖腳段,5247.18,非都市：一般農業區 ; 非都市編定：農牧用地
RPOOMLMLKHMFFAU98CA,永興段,96.11,非都市：特定農業區 ; 非都市編定：甲種建築用地
RPOOMLMLKHMFFAU98CA,永興段,4.90,非都市：特定農業區 ; 非都市編定：甲種建築用地
RPWNMLOLKHMFFAU27CA,榕樹段,620.00,非都市：森林區 ; 非都市編定：農牧用地
RPRNMLLJLHMFFAU98CA,林森段,1.14,都市：住
RPRNMLLJLHMFFAU98CA,林森段,1.14,都市：住
RPRNMLLJLHMFFAU98CA,林森段,2.13,都市：住
RPRNMLLJLHMFFAU98CA,林森段,2.13,都市：住
RPRNMLLJLHMFFAU98CA,林森段,4.18,都市：住
RPRNMLLJLHMFFAU98CA,林森段,4.18,都市：住
RPUOMLNLKHMFFAU07CA,民意段,93.00,都市：住
RPXOMLNLKHMFFAU37CA,太昌段,100.00,都市：住
RPRNMLNLKHMFFAU66CA,廣賢段,54.28,非都市：鄉村區 ; 非都市編定：乙種建築用地
RPTNMLNLKHMFFAU86CA,富國段,14.40,都市：住
RPPNMLNLKHMFFAU09CA,裕民段,11.78,都市：住
RPQNMLOLKHMFFBU76CA,水廣段,80.36,非都市：鄉村區 ; 非都市編定：乙種建築用地
RPQNMLOLKHMFFBU76CA,水廣段,18.46,非都市：鄉村區 ; 非都市編定：乙種建築用地
RPQOMLMLLHMFFCU86CA,玉城段,42.38,都市：其他
RPROMLMLLHMFFCU96CA,玉城段,42.38,都市：其他
RPSOMLMLLHMFFCU07CA,玉城段,42.38,都市：其他
RPTOMLMLLHMFFCU17CA,玉城段,42.38,都市：其他
RPPNMLOLKHMFFAU66DA,路內段,53.04,都市：住
RPPNMLNLKHMFFCU86EA,玉城段,14.00,都市：住
RPROMLNKLHMFFAU76CA,仁義段,65.00,都市：住
RPXNMLKKLHMFFAU96CA,裕民段,129.00,都市：住
RPUNMLLKLHMFFAU76CA,自強段,9.29,都市：住
RPPNMLOLLHMFFAU66CA,裕民段,78.00,都市：商
RPWNMLLLLHMFFAU07CA,民享段,4.09,都市：商
RPPNMLOLKHMFFBU66CA,加里洞段,383.10,非都市：山坡地保育區 ; 非都市編定：丙種建築用地
RPROMLKLLHMFFAU56CA,民心段,30.00,非都市：一般農業區 ; 非都市編定：甲種建築用地
RPROMLKLLHMFFAU56CA,民心段,398.00,非都市：一般農業區 ; 非都市編定：甲種建築用地
RPROMLKLLHMFFAU56CA,民心段,18.00,非都市：一般農業區 ; 非都市編定：甲種建築用地
RPROMLKLLHMFFAU56CA,民心段,41.00,非都市：一般農業區 ; 非都市編定：甲種建築用地
RPXOMLKLLHMFFAU17CA,慶豐段,97.00,都市：住
RPPNMLNKLHMFFAU09CA,慈惠段,303.27,都市：住
RPSNMLLKLHMFFAU56CA,林森段,16.57,都市：住
RPTNMLLKLHMFFAU66CA,主權段,15.53,都市：住
RPTNMLLKLHMFFAU66CA,德安段,.14,都市：住
RPQOMLKKLHMFFAU98CA,民意段,16.21,都市：住
RPQPMLPKLHMFFAU96CA,順安段,2033.19,非都市：一般農業區 ; 非都市編定：農牧用地
RPPNMLNJLHMFFCU76EA,卓樂段,5.00,非都市：鄉村區 ; 非都市編定：乙種建築用地
RPPNMLNJLHMFFCU76EA,卓樂段,8.00,非都市：鄉村區 ; 非都市編定：乙種建築用地
RPPNMLNJLHMFFBU66EA,丁仔漏段,16.68,非都市：鄉村區 ; 非都市編定：交通用地
RPPNMLNJLHMFFBU66EA,丁仔漏段,167.14,非都市：鄉村區 ; 非都市編定：乙種建築用地
RPPNMLNJLHMFFBU66EA,丁仔漏段,14.02,非都市：鄉村區 ; 非都市編定：乙種建築用地
RPQNMLNLKHMFFBU76DA,新豐段,661.21,非都市：風景區 ; 非都市編定：農牧用地
RPQNMLNLKHMFFBU76DA,新豐段,715.90,非都市：風景區 ; 非都市編定：農牧用地
RPPNMLMJLHMFFCU09CA,學園段,8176.26,非都市：特定農業區 ; 非都市編定：農牧用地
RPOOMLLJLHMFFAU78CA,民孝段,31.13,都市：住
RPPNMLTJLHMFFAU96CA,民勤段,12.31,都市：住
RPPNMLTJLHMFFAU96CA,民勤段,9.76,都市：住
RPUNMLKKLHMFFAU66CA,林森段,2.55,都市：住
RPUNMLKKLHMFFAU66CA,林森段,4.76,都市：住
RPUNMLKKLHMFFAU66CA,林森段,9.34,都市：住
RPSNMLQJLHMFFAU96CA,光學段,893.99,非都市：一般農業區 ; 非都市編定：農牧用地
RPQNMLRJLHMFFAU86CA,石壁段,1275.45,非都市：一般農業區 ; 非都市編定：農牧用地
RPUNMLNJLHMFFAU86CA,東昌段,960.76,都市：農
RPOOMLNJLHMFFAU98CA,精鐘段,2251.66,非都市：山坡地保育區 ; 非都市編定：農牧用地
RPOOMLNJLHMFFAU98CA,精鐘段,3367.31,非都市：山坡地保育區 ; 非都市編定：農牧用地
RPROMLLJLHMFFAU09CA,慈惠段,62.06,都市：住
RPROMLLJLHMFFAU09CA,慈惠段,89.16,都市：住
RPQNMLMJLHMFFAU98CA,裕民段,223.00,都市：其他
RPQNMLMJLHMFFAU98CA,裕民段,223.00,都市：其他
RPTNMLMJLHMFFAU66CA,樹人段,49.37,都市：住
RPTNMLMJLHMFFAU66CA,樹人段,.22,都市：住
RPWNMLMJLHMFFAU96CA,烏杙段,53.08,都市：農
RPWNMLMJLHMFFAU96CA,烏杙段,345.00,都市：農
RPRNMLTJLHMFFCU37CA,山里段,5410.00,非都市：山坡地保育區 ; 非都市編定：農牧用地
RPRNMLTJLHMFFCU37CA,山里段,14450.00,非都市：山坡地保育區 ; 非都市編定：農牧用地
RPRNMLTJLHMFFCU37CA,山里段,840.00,非都市：山坡地保育區 ; 非都市編定：農牧用地
RPRNMLTJLHMFFCU37CA,山里段,480.00,非都市：山坡地保育區 ; 非都市編定：農牧用地
RPQOMLOLKHMFFAU96EA,民德段,49.63,都市：其他
RPQNMLLJLHMFFCU09CA,玉里段,4000.00,非都市：特定農業區 ; 非都市編定：農牧用地
RPQNMLLJLHMFFCU09CA,玉里段,3650.00,非都市：特定農業區 ; 非都市編定：農牧用地
RPQNMLLJLHMFFCU09CA,玉里段,2750.00,非都市：特定農業區 ; 非都市編定：農牧用地
RPRNMLLKLHMFFAU09CA,榮光段,835.90,都市：農
RPRNMLLKLHMFFAU09CA,榮光段,61.56,都市：農
RPSNMLLLLHMFFAU66CA,吳全段,526.00,都市：農
RPSNMLLLLHMFFAU66CA,吳全段,427.95,都市：農
RPOOMLMLLHMFFAU09CA,碧雲段,114.70,都市：住
