編號,屋齡,建物移轉面積平方公尺,主要用途,主要建材,建築完成日期,總層數,建物分層
RPROMLLLKHMFFAU56CA,39,546.98,見其他登記事項,鋼筋混凝土加強磚造,66年12月10日,四層,一層 二層 三層 四層 騎樓 地下層
SPROMLLLKHMFFAU66CA,39,312.02,住商用,鋼筋混凝土造,66年7月29日,四層,一層 二層 三層 四層 騎樓 地下層
RPQNMLMLKHMFFAU09CA,19,93.81,住家用,鋼筋混凝土造,86年8月27日,九層,八層 九層
RPQNMLMLKHMFFAU09CA,19,15.47,共有部份,鋼筋混凝土造,86年8月27日,九層,
RPQNMLMLKHMFFAU09CA,19,12.64,共有部份,鋼筋混凝土造,86年8月27日,九層,
RPQNMLMLKHMFFAU09CA,19,4.42,共有部份,鋼筋混凝土造,86年8月27日,九層,
RPQNMLNLKHMFFAU56CA,47,68.18,住家用,鋼筋混凝土加強磚造,59年6月9日,二層,一層 二層
RPXNMLLJLHMFFAU96CA,21,159.33,住家用,鋼筋混凝土造,84年9月14日,三層,一層 二層 三層 屋頂突出物
RPSOMLLJLHMFFAU56CA,37,320.08,住商用,鋼筋混凝土造,69年5月15日,四層,騎樓 一層 二層 三層 四層 防空避難室 屋頂突出物
RPVNMLMLLHMFFCU27CA,18,103.20,住家用,鋼筋混凝土造,87年7月10日,九層,四層
RPVNMLMLLHMFFCU27CA,18,42.38,見其他登記事項,鋼筋混凝土造,87年7月10日,九層,
RPWNMLMLLHMFFCU37CA,18,103.20,住家用,鋼筋混凝土造,87年7月10日,九層,四層
RPWNMLMLLHMFFCU37CA,18,42.38,見其他登記事項,鋼筋混凝土造,87年7月10日,九層,
RPXNMLMLLHMFFCU47CA,18,103.20,住家用,鋼筋混凝土造,87年7月10日,九層,三層
RPXNMLMLLHMFFCU47CA,18,42.38,見其他登記事項,鋼筋混凝土造,87年7月10日,九層,
RPOOMLMLLHMFFCU66CA,18,103.20,住家用,鋼筋混凝土造,87年7月10日,九層,八層
RPOOMLMLLHMFFCU66CA,18,42.38,見其他登記事項,鋼筋混凝土造,87年7月10日,九層,
RPPOMLMLLHMFFCU76CA,18,103.20,住家用,鋼筋混凝土造,87年7月10日,九層,九層
RPPOMLMLLHMFFCU76CA,18,42.38,見其他登記事項,鋼筋混凝土造,87年7月10日,九層,
RPPNMLNLKHMFFBU76EA,35,109.32,住家用,加強磚造,70年7月15日,二層,一層 二層
RPWOMLRKLHMFFAU67CA,1,265.64,住家用,鋼筋混凝土造,105年1月6日,三層,一層 二層 三層 地下一層
RPXOMLRKLHMFFAU77CA,1,265.35,住家用,鋼筋混凝土造,105年1月6日,二層,一層 二層 屋頂突出物
RPOPMLRKLHMFFAU96CA,1,284.28,住家用,鋼筋混凝土造,105年1月6日,二層,一層 二層 屋頂突出物
RPPPMLRKLHMFFAU07CA,1,212.63,住家用,鋼筋混凝土造,105年1月6日,二層,一層 二層 屋頂突出物
RPUOMLRKLHMFFAU47CA,1,245.89,住家用,鋼筋混凝土造,105年1月6日,三層,一層 二層 三層
RPUNMLNLKHMFFAU96CA,23,136.73,住家用,鋼筋混凝土造,82年12月29日,三層,一層 二層 三層
RPVNMLOLKHMFFAU17CA,1,254.91,住家用,鋼筋混凝土造,104年10月13日,四層,一層 二層 三層 四層
RPQNMLTJLHMFFAU07CA,14,106.23,住家用,鋼筋混凝土造,91年11月21日,十一層,三層
RPQNMLTJLHMFFAU07CA,14,70.69,共有部份,鋼筋混凝土造,91年11月21日,十一層,
RPTNMLRKLHMFFAU27CA,1,274.75,住家用,鋼筋混凝土造,105年1月6日,三層,一層 二層 三層
RPUNMLRKLHMFFAU37CA,1,390.70,住家用,鋼筋混凝土造,105年1月6日,三層,二層 三層 地下一層 一層
RPVNMLRKLHMFFAU47CA,1,540.63,住家用,鋼筋混凝土造,105年1月6日,三層,一層 二層 三層 屋頂突出物
RPWNMLRKLHMFFAU57CA,1,405.34,住家用,鋼筋混凝土造,105年1月6日,三層,一層 二層 三層
RPOOMLRKLHMFFAU86CA,1,87.08,住家用,鋼筋混凝土造,105年1月6日,一層,一層
RPPOMLRKLHMFFAU96CA,1,427.19,住家用,鋼筋混凝土造,105年1月6日,二層,一層 二層 屋頂突出物
RPQOMLRKLHMFFAU07CA,1,255.48,住家用,鋼筋混凝土造,105年1月6日,二層,一層 二層 屋頂突出物
RPROMLRKLHMFFAU17CA,1,278.37,住家用,鋼筋混凝土造,105年1月6日,三層,一層 二層 三層
RPSOMLRKLHMFFAU27CA,1,220.71,住家用,鋼筋混凝土造,105年1月6日,二層,一層 二層 夾層
RPVOMLTJLHMFFAU67CA,23,104.07,住家用,鋼筋混凝土造,82年12月15日,七層,六層
RPVOMLTJLHMFFAU67CA,23,15.61,共有部份,鋼筋混凝土造,82年12月15日,七層,
RPVOMLTJLHMFFAU67CA,23,16.28,共有部份,鋼筋混凝土造,82年12月15日,七層,
RPSNMLRJLHMFFAU07CA,11,237.89,住家用,鋼筋混凝土造,94年9月22日,四層,一層 二層 三層 四層 見其他登記事項
RPXNMLSJLHMFFAU67CA,39,111.32,住商用,鋼筋混凝土加強磚造,66年11月28日,二層,二層 騎樓 一層
RPOOMLSJLHMFFAU86CA,18,48.33,商業用,鋼筋混凝土造,87年10月6日,五層,一層
RPOOMLSJLHMFFAU86CA,18,25.12,共有部份,鋼筋混凝土造,87年10月6日,五層,
RPOOMLSJLHMFFAU86CA,18,82.62,商業用,鋼筋混凝土造,87年10月6日,五層,一層 夾層
RPOOMLSJLHMFFAU86CA,18,43.33,共有部份,鋼筋混凝土造,87年10月6日,五層,
RPOOMLSJLHMFFAU86CA,18,75.44,商業用,鋼筋混凝土造,87年10月6日,五層,一層 夾層
RPOOMLSJLHMFFAU86CA,18,39.62,共有部份,鋼筋混凝土造,87年10月6日,五層,
RPOOMLMLKHMFFAU98CA,4,174.63,住家用,鋼筋混凝土造,102年4月30日,三層,一層 二層 三層
RPRNMLLJLHMFFAU98CA,6,74.66,見其他登記事項,鋼筋混凝土造,100年1月21日,十二層,四層
RPRNMLLJLHMFFAU98CA,6,33.01,共有部份,鋼筋混凝土造,100年1月21日,十二層,
RPUOMLNLKHMFFAU07CA,32,99.40,住家用,鋼筋混凝土造,73年12月14日,二層,一層 二層
RPXOMLNLKHMFFAU37CA,24,135.62,住家用,鋼筋混凝土造,81年9月24日,二層,一層 二層 屋頂突出物
RPRNMLNLKHMFFAU66CA,18,120.88,住家用,鋼筋混凝土造,88年4月14日,五層,五層
RPRNMLNLKHMFFAU66CA,18,9.00,共有部份,鋼筋混凝土造,88年4月14日,五層,
RPRNMLNLKHMFFAU66CA,18,6.56,共有部份,鋼筋混凝土造,88年4月14日,五層,
RPTNMLNLKHMFFAU86CA,23,55.38,見其他登記事項,鋼筋混凝土造,83年4月14日,六層,三層
RPTNMLNLKHMFFAU86CA,23,16.69,共有部份,鋼筋混凝土造,83年4月14日,六層,
RPPNMLNLKHMFFAU09CA,20,43.90,住家用,鋼筋混凝土造,85年8月24日,七層,三層
RPPNMLNLKHMFFAU09CA,20,15.90,共有部份,鋼筋混凝土造,85年8月24日,七層,
RPQNMLOLKHMFFBU76CA,35,110.82,住家用,鋼筋混凝土加強磚造,71年7月15日,二層,一層 二層 騎樓
RPQOMLMLLHMFFCU86CA,18,103.20,住家用,鋼筋混凝土造,87年7月10日,九層,八層
RPQOMLMLLHMFFCU86CA,18,42.38,見其他登記事項,鋼筋混凝土造,87年7月10日,九層,
RPROMLMLLHMFFCU96CA,18,103.20,住家用,鋼筋混凝土造,87年7月10日,九層,六層
RPROMLMLLHMFFCU96CA,18,42.38,見其他登記事項,鋼筋混凝土造,87年7月10日,九層,
RPSOMLMLLHMFFCU07CA,18,103.20,住家用,鋼筋混凝土造,87年7月10日,九層,六層
RPSOMLMLLHMFFCU07CA,18,42.38,見其他登記事項,鋼筋混凝土造,87年7月10日,九層,
RPTOMLMLLHMFFCU17CA,18,103.20,住家用,鋼筋混凝土造,87年7月10日,九層,九層
RPTOMLMLLHMFFCU17CA,18,42.38,見其他登記事項,鋼筋混凝土造,87年7月10日,九層,
RPPNMLOLKHMFFAU66DA,18,113.78,住家用,鋼筋混凝土造,88年5月20日,五層,四層 五層 見其他登記事項
RPPNMLOLKHMFFAU66DA,18,13.40,停車空間,鋼筋混凝土造,88年5月20日,五層,
RPPNMLOLKHMFFAU66DA,18,25.67,共有部份,鋼筋混凝土造,88年5月20日,五層,
RPROMLNKLHMFFAU76CA,38,93.70,住商用,鋼筋混凝土加強磚造,67年6月19日,二層,一層 二層 騎樓
RPXNMLKKLHMFFAU96CA,23,336.70,住商用,鋼筋混凝土造,82年12月20日,四層,一層 二層 三層 四層 騎樓
