鄉鎮市區,交易標的,土地區段位置或建物區門牌,土地移轉總面積平方公尺,都市土地使用分區,非都市土地使用分區,非都市土地使用編定,交易年月日,交易筆棟數,移轉層次,總樓層數,建物型態,主要用途,主要建材,建築完成年月,建物移轉總面積平方公尺,建物現況格局-房,建物現況格局-廳,建物現況格局-衛,建物現況格局-隔間,有無管理組織,總價元,單價每平方公尺,車位類別,車位移轉總面積平方公尺,車位總價元,備註,編號
苗栗市,房地(土地+建物)+車位,苗栗縣苗栗市文山里14鄰祥發街31~60號,28.94,商,,,1060201,土地2建物1車位1,五層,十一層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,1051018,178.20999999999998,3,2,2,有,有,6600000,37035,坡道平面,26.85,0,,RPSNMLLLLHMFFBK38CA
苑裡鎮,土地,苑坑段841~870地號,22.26,,山坡地保育區,農牧用地,1060201,土地1建物0車位0,,,其他,,,,0.0,0,0,0,有,無,24485,1100,,0.0,0,親友、員工或其他特殊關係間之交易。,RPQNMLLJLHMFFCK08CA
苑裡鎮,房地(土地+建物),苗栗縣苑裡鎮山?里2鄰山?1~30號,54.71,,鄉村區,乙種建築用地,1051001,土地2建物1車位0,全,三層,透天厝,住家用,加強磚造,0681012,141.6,4,2,3,有,無,3800000,26836,,0.0,0,,RPPNMLMJLHMFFCK08CA
竹南鎮,房地(土地+建物),苗栗縣竹南鎮海口里3鄰育才路62巷1~30號,38.71,住,,,1051201,土地3建物1車位0,二層,五層,華廈(10層含以下有電梯),見其他登記事項,鋼筋混凝土造,1050401,121.22,2,2,2,有,無,4400000,36298,,0.0,0,建物買賣價格含一樓共有約定專用一個位置,RPUNMLLLLHMFFDK78CA
銅鑼鄉,土地,朝陽段31~60地號,41.46,住,,,1060201,土地1建物0車位0,,,其他,,,,0.0,0,0,0,有,無,2200000,53063,,0.0,0,,RPPNMLNLKHMFFEK48CA
竹南鎮,房地(土地+建物),苗栗縣竹南鎮海口里16鄰保福路433巷10弄1~30號,116.57,,特定農業區,甲種建築用地,1050501,土地5建物1車位0,全,四層,透天厝,住家用,鋼筋混凝土造,1051123,182.6,4,2,3,有,無,6960000,38116,,0.0,0,,RPRNMLRJLHMFFDK88CA
竹南鎮,房地(土地+建物),苗栗縣竹南鎮海口里16鄰保福路433巷12弄1~30號,113.29,,特定農業區,甲種建築用地,1040801,土地3建物1車位0,全,四層,透天厝,住家用,鋼筋混凝土造,1051123,172.82,3,2,3,有,無,7080000,40967,,0.0,0,,RPSNMLRJLHMFFDK98CA
竹南鎮,房地(土地+建物),苗栗縣竹南鎮海口里16鄰保福路433巷12弄1~30號,155.29,,特定農業區,甲種建築用地,1050901,土地3建物1車位0,全,四層,透天厝,住家用,鋼筋混凝土造,1051123,228.01,5,2,3,有,無,8750000,38376,,0.0,0,,RPQOMLRJLHMFFDK88CA
造橋鄉,房地(土地+建物),苗栗縣造橋鄉豐湖村9鄰上彎1~30號,963.49,,山坡地保育區,農牧用地,1031101,土地1建物1車位0,一層，二層，三層,三層,農舍,農舍,鋼筋混凝土造,1050506,255.31,6,2,4,有,無,5200000,,,0.0,0,配蓋農舍。,RPVNMLSJLHMFFDK76CA
竹南鎮,房地(土地+建物),苗栗縣竹南鎮大埔里3鄰大埔二街91~120號,159.5,住,,,1060101,土地4建物1車位0,全,四層,透天厝,見其他登記事項,鋼筋混凝土造,1041130,398.93,5,2,6,有,無,21000000,52641,,0.0,0,,RPROMLOLKHMFFDK78CA
