編號,屋齡,建物移轉面積平方公尺,主要用途,主要建材,建築完成日期,總層數,建物分層
RPSPMLQKKHMFFCA18CC,9,9.80,共有部分,鋼筋混凝土造,96年12月7日,九層,
RPSPMLQKKHMFFCA18CC,9,.75,共有部分,鋼筋混凝土造,96年12月7日,九層,
RPSPMLQKKHMFFCA18CC,9,1.19,共有部分,鋼筋混凝土造,96年12月7日,九層,
RPTPMLQKKHMFFCA28CC,39,41.44,商業用,鋼筋混凝土造,67年5月5日,七層,
RPTPMLQKKHMFFCA28CC,39,4.35,共有部分,鋼筋混凝土造,67年5月5日,七層,
RPXPMLQKKHMFFCA68CC,9,184.01,商業用,鋼筋混凝土造,96年11月6日,十四層,
RPXPMLQKKHMFFCA68CC,9,16.47,共有部分,鋼筋混凝土造,96年11月6日,十四層,
RPOQMLQKKHMFFCA87CC,6,45.44,住家用,見其他登記事項,99年9月17日,十八層,
RPOQMLQKKHMFFCA87CC,6,5.65,見其他登記事項,見其他登記事項,99年9月17日,十八層,
RPOQMLQKKHMFFCA87CC,6,1.71,見其他登記事項,見其他登記事項,99年9月17日,十八層,
RPOQMLQKKHMFFCA87CC,6,15.31,見其他登記事項,見其他登記事項,99年9月17日,十八層,
RPSQMLQKKHMFFCA28CC,20,221.06,商業用,鋼筋混凝土造,85年12月7日,十三層,
RPSQMLQKKHMFFCA28CC,20,93.75,共有部分,鋼筋混凝土造,85年12月7日,十三層,
RPSQMLQKKHMFFCA28CC,20,195.07,商業用,鋼筋混凝土造,85年12月7日,十三層,
RPSQMLQKKHMFFCA28CC,20,85.62,共有部分,鋼筋混凝土造,85年12月7日,十三層,
RPUNMLQKKHMFFFA48CC,8,82.87,住家用,鋼筋混凝土造,97年10月9日,九層,
RPUNMLQKKHMFFFA48CC,8,44.10,共有部分,鋼筋混凝土造,97年10月9日,九層,
RPVNMLQKKHMFFFA58CC,10,67.26,住家用,鋼筋混凝土造,95年12月28日,七層,
RPVNMLQKKHMFFFA58CC,10,3.58,共有部分,鋼筋混凝土造,95年12月28日,七層,
RPVNMLQKKHMFFFA58CC,10,29.02,共有部分,鋼筋混凝土造,95年12月28日,七層,
RPXNMLRKKHMFFCA58CC,4,110.66,住家用,鋼筋混凝土造,102年5月9日,十三層,
RPXNMLRKKHMFFCA58CC,4,3.07,見其他登記事項,鋼筋混凝土造,102年5月9日,十三層,
RPXNMLRKKHMFFCA58CC,4,13.29,見其他登記事項,鋼筋混凝土造,102年5月9日,十三層,
RPOOMLRKKHMFFCA77CC,6,68.89,住家用,鋼筋混凝土造,100年7月26日,十三層,
RPOOMLRKKHMFFCA77CC,6,16.72,見其他登記事項,鋼筋混凝土造,100年7月26日,十三層,
RPOOMLRKKHMFFCA77CC,6,19.73,見其他登記事項,鋼筋混凝土造,100年7月26日,十三層,
RPSOMLRKKHMFFCA18CC,7,130.72,住家用,鋼筋混凝土造,98年12月1日,七層,
RPSOMLRKKHMFFCA18CC,7,84.63,見其他登記事項,鋼筋混凝土造,98年12月1日,七層,
RPSOMLRKKHMFFCA18CC,7,20.80,見其他登記事項,鋼筋混凝土造,98年12月1日,七層,
RPUOMLRKKHMFFCA38CC,4,47.31,見其他登記事項,鋼筋混凝土造,101年11月12日,十四層,
RPUOMLRKKHMFFCA38CC,4,24.73,見其他登記事項,鋼筋混凝土造,101年11月12日,十四層,
RPXOMLRKKHMFFCA68CC,33,102.43,住家用,鋼筋混凝土造,72年9月29日,七層,
RPXOMLRKKHMFFCA68CC,33,3.13,共有部分,鋼筋混凝土造,72年9月29日,七層,
RPOPMLRKKHMFFCA87CC,7,139.58,見其他登記事項,鋼筋混凝土造,99年5月12日,十一層,
RPOPMLRKKHMFFCA87CC,7,54.54,見其他登記事項,鋼筋混凝土造,99年5月12日,十一層,
RPOPMLRKKHMFFCA87CC,7,51.92,見其他登記事項,鋼筋混凝土造,99年5月12日,十一層,
RPOQMLRKKHMFFCA97CC,9,120.70,住家用,鋼筋混凝土造,97年6月19日,六層,
RPOQMLRKKHMFFCA97CC,9,21.41,共有部分,鋼筋混凝土造,97年6月19日,六層,
RPRQMLRKKHMFFCA28CC,23,283.63,商業用,鋼筋混凝土造,83年1月10日,十一層,
RPSNMLRKKHMFFEA28CC,8,61.89,見其他登記事項,鋼筋混凝土造,97年10月2日,十五層,
RPSNMLRKKHMFFEA28CC,8,30.65,共有部分,鋼筋混凝土造,97年10月2日,十五層,
RPVNMLRKKHMFFEA58CC,7,146.98,住家用,鋼筋混凝土造,99年2月11日,九層,
RPVNMLRKKHMFFEA58CC,7,23.24,見其他登記事項,鋼筋混凝土造,99年2月11日,九層,
RPVNMLRKKHMFFEA58CC,7,48.42,見其他登記事項,鋼筋混凝土造,99年2月11日,九層,
RPRPMLRKKHMFFEA38CC,23,84.93,住家用,鋼筋混凝土造,82年8月4日,六層,
RPRPMLRKKHMFFEA38CC,23,13.30,共有部分,鋼筋混凝土造,82年8月4日,六層,
RPSPMLRKKHMFFEA48CC,12,127.57,住家用,鋼筋混凝土造,94年2月22日,十四層,
RPSPMLRKKHMFFEA48CC,12,38.52,共有部分,鋼筋混凝土造,94年2月22日,十四層,
RPSPMLRKKHMFFEA48CC,12,36.17,共有部分,鋼筋混凝土造,94年2月22日,十四層,
RPSPMLRKKHMFFEA48CC,12,5.76,共有部分,鋼筋混凝土造,94年2月22日,十四層,
RPWPMLRKKHMFFEA88CC,41,59.28,住家用,鋼筋混凝土造,65年5月6日,四層,
RPPNMLRKKHMFFBA67CC,8,25.65,住家用,鋼筋混凝土造,97年12月11日,十四層,
RPPNMLRKKHMFFBA67CC,8,11.71,共有部分,鋼筋混凝土造,97年12月11日,十四層,
RPQNMLRKKHMFFBA77CC,8,70.25,住家用,鋼筋混凝土造,97年12月11日,十四層,
RPQNMLRKKHMFFBA77CC,8,26.22,共有部分,鋼筋混凝土造,97年12月11日,十四層,
RPSNMLRKKHMFFBA97CC,35,114.07,住家用,鋼筋混凝土造,71年5月12日,十層,
RPSNMLRKKHMFFBA97CC,35,18.02,共有部分,鋼筋混凝土造,71年5月12日,十層,
RPRNMLRKKHMFFDA08CC,27,50.26,商業用,鋼筋混凝土造,79年1月19日,十二層,
RPWNMLRKKHMFFDA58CC,10,60.92,住家用,見其他登記事項,95年12月29日,十九層,
RPWNMLRKKHMFFDA58CC,10,31.05,共有部分,見其他登記事項,95年12月29日,十九層,
RPROMLRKKHMFFDA18CC,32,100.13,商業用,鋼筋混凝土造,73年10月4日,十四層,
RPROMLRKKHMFFDA18CC,32,19.06,見使用執照,鋼筋混凝土造,73年10月4日,十四層,
RPROMLRKKHMFFDA18CC,32,129.79,商業用,鋼筋混凝土造,73年10月4日,十四層,
RPROMLRKKHMFFDA18CC,32,109.39,商業用,鋼筋混凝土造,73年10月4日,十四層,
RPVOMLSKKHMFFDA68CC,38,100.87,住家用,鋼筋混凝土造,68年7月19日,七層,
RPVOMLSKKHMFFDA68CC,,12.15,共有部分,鋼筋混凝土造,,七層,
RPOPMLSKKHMFFDA08CC,,63.26,商業用,鋼筋混凝土造,,七層,
RPOPMLSKKHMFFDA08CC,38,7.34,共有部分,鋼筋混凝土造,67年8月31日,七層,
RPRNMLSKKHMFFBA97CC,8,17.23,住家用,鋼筋混凝土造,97年11月14日,七層,
RPRNMLSKKHMFFBA97CC,8,8.53,共有部分,鋼筋混凝土造,97年11月14日,七層,
RPRNMLSKKHMFFBA97CC,8,5.08,共有部分,鋼筋混凝土造,97年11月14日,七層,
RPTNMLSKKHMFFBA18CC,42,93.17,,鋼筋混凝土造,64年3月19日,四層,
RPQOMLSKKHMFFBA97CC,33,120.43,住家用,鋼筋混凝土造,72年10月14日,六層,
RPROMLSKKHMFFEA38CC,31,95.07,見使用執照,鋼筋混凝土造,75年2月20日,五層,
RPROMLSKKHMFFEA38CC,31,3.30,共有部分,鋼筋混凝土造,75年2月20日,五層,
RPOPMLSKKHMFFEA18CC,1,96.00,住家用,鋼筋混凝土造,105年4月25日,十五層,
RPOPMLSKKHMFFEA18CC,1,34.27,見其他登記事項,鋼筋混凝土造,105年4月25日,十五層,
RPOPMLSKKHMFFEA18CC,1,8.05,見其他登記事項,鋼筋混凝土造,105年4月25日,十五層,
RPTNMLSKKHMFFCA28CC,8,41.87,住家用,鋼筋混凝土造,98年4月14日,五層,
RPTNMLSKKHMFFCA28CC,8,23.63,共有部分,鋼筋混凝土造,98年4月14日,五層,
RPUNMLSKKHMFFCA38CC,18,58.26,商業用,鋼筋混凝土造,88年5月24日,十一層,
RPUNMLSKKHMFFCA38CC,18,20.12,共有部分,鋼筋混凝土造,88年5月24日,十一層,
RPVNMLSKKHMFFCA48CC,27,36.24,住家用,鋼筋混凝土造,79年5月14日,十二層,
RPVNMLSKKHMFFCA48CC,27,10.00,共有部分,鋼筋混凝土造,79年5月14日,十二層,
RPROMLSKKHMFFCA18CC,,67.36,,加強磚造,,三層,
RPUOMLSKKHMFFCA48CC,6,55.91,住家用,見其他登記事項,99年11月23日,十八層,
RPUOMLSKKHMFFCA48CC,6,8.92,見其他登記事項,見其他登記事項,99年11月23日,十八層,
RPUOMLSKKHMFFCA48CC,6,14.36,見其他登記事項,見其他登記事項,99年11月23日,十八層,
RPUOMLSKKHMFFCA48CC,6,2.13,見其他登記事項,見其他登記事項,99年11月23日,十八層,
RPUOMLSKKHMFFCA48CC,6,3.32,見其他登記事項,鋼筋混凝土造,99年11月23日,十八層,
RPUOMLSKKHMFFCA48CC,6,45.08,見其他登記事項,鋼筋混凝土造,99年11月23日,十八層,
RPUNMLSKKHMFFFA68CC,11,48.11,住家用,鋼筋混凝土造,94年12月13日,十一層,
RPUNMLSKKHMFFFA68CC,11,19.02,共有部分,鋼筋混凝土造,94年12月13日,十一層,
RPXNMLSKKHMFFFA98CC,,241.66,商業用,鋼筋混凝土造,,七層,
RPWNMLTKKHMFFCA68CC,15,175.27,工業用,鋼筋混凝土造,90年12月12日,九層,
RPWNMLTKKHMFFCA68CC,15,151.70,共有部分,鋼筋混凝土造,90年12月12日,九層,
RPPNMLTKKHMFFDA08CC,8,302.48,見其他登記事項,見其他登記事項,98年3月20日,二十七層,
RPPOMLKLKHMFFDA37CC,3,61.31,住家用,鋼筋混凝土造,103年5月21日,七層,
RPPOMLKLKHMFFDA37CC,3,31.61,見其他登記事項,鋼筋混凝土造,103年5月21日,七層,
RPPOMLKLKHMFFDA37CC,3,2.83,見其他登記事項,鋼筋混凝土造,103年5月21日,七層,
RPQOMLKLKHMFFDA47CC,20,107.98,見使用執照,鋼筋混凝土造,86年1月21日,十八層,
RPQOMLKLKHMFFDA47CC,20,26.60,見使用執照,鋼筋混凝土造,86年1月21日,十八層,
RPROMLKLKHMFFDA57CC,33,755.79,商業用,鋼筋混凝土造,73年2月11日,十四層,
RPROMLKLKHMFFDA57CC,33,50.28,共有部分,鋼筋混凝土造,73年2月11日,十四層,
RPSOMLKLKHMFFDA67CC,39,14.32,商業用,鋼筋混凝土造,67年6月2日,四層,
RPSOMLKLKHMFFDA67CC,39,6.77,共有部分,鋼筋混凝土造,67年6月2日,四層,
RPWOMLKLKHMFFDA08CC,8,23.91,住家用,鋼筋混凝土造,97年10月13日,十一層,
RPWOMLKLKHMFFDA08CC,8,9.97,共有部分,鋼筋混凝土造,97年10月13日,十一層,
RPWOMLKLKHMFFDA08CC,8,5.80,共有部分,鋼筋混凝土造,97年10月13日,十一層,
RPQNMLKLKHMFFEA47CC,37,128.58,住家用,鋼筋混凝土造,69年5月22日,五層,
RPQNMLKLKHMFFEA47CC,37,17.54,共有部分,鋼筋混凝土造,69年5月22日,五層,
RPQNMLKLKHMFFEA47CC,37,.01,共有部分,鋼筋混凝土造,69年5月22日,五層,
RPWOMLKLKHMFFEA18CC,32,129.81,住家用,鋼筋混凝土造,73年11月13日,七層,
RPWOMLKLKHMFFEA18CC,32,1.93,共有部分,鋼筋混凝土造,73年11月13日,七層,
RPWOMLKLKHMFFEA18CC,32,20.24,共有部分,鋼筋混凝土造,73年11月13日,七層,
RPSNMLKLKHMFFBA37CC,1,64.62,住家用,鋼筋混凝土造,104年10月1日,十五層,
RPSNMLKLKHMFFBA37CC,1,33.17,見其他登記事項,鋼筋混凝土造,104年10月1日,十五層,
RPTNMLKLKHMFFBA47CC,17,91.50,商業用,鋼筋混凝土造,88年11月25日,十三層,
RPTNMLKLKHMFFBA47CC,17,6.44,共有部分,鋼筋混凝土造,88年11月25日,十三層,
RPTNMLKLKHMFFBA47CC,17,42.99,共有部分,鋼筋混凝土造,88年11月25日,十三層,
RPUNMLKLKHMFFBA57CC,1,90.59,住家用,見其他登記事項,105年3月31日,二十六層,
RPUNMLKLKHMFFBA57CC,1,47.17,見其他登記事項,見其他登記事項,105年3月31日,二十六層,
RPVOMLKLKHMFFCA87CC,23,103.80,住家用,鋼筋混凝土造,82年12月22日,十五層,
RPVOMLKLKHMFFCA87CC,23,33.66,共有部分,鋼筋混凝土造,82年12月22日,十五層,
RPVOMLKLKHMFFCA87CC,23,13.93,共有部分,鋼筋混凝土造,82年12月22日,十五層,
RPQPMLKLKHMFFCA47CC,9,47.24,住家用,鋼筋混凝土造,97年3月12日,十四層,
RPQPMLKLKHMFFCA47CC,9,23.78,共有部分,鋼筋混凝土造,97年3月12日,十四層,
