鄉鎮市區,交易標的,土地區段位置或建物區門牌,土地移轉總面積平方公尺,都市土地使用分區,非都市土地使用分區,非都市土地使用編定,交易年月日,交易筆棟數,移轉層次,總樓層數,建物型態,主要用途,主要建材,建築完成年月,建物移轉總面積平方公尺,建物現況格局-房,建物現況格局-廳,建物現況格局-衛,建物現況格局-隔間,有無管理組織,總價元,單價每平方公尺,車位類別,車位移轉總面積平方公尺,車位總價元,備註,編號
沙鹿區,房地(土地+建物),臺中市沙鹿區自由路95巷1~30號,98.27,住,,,1060109,土地2建物1車位0,全,四層,透天厝,見其他登記事項,鋼筋混凝土造,0951219,185.47,3,3,3,有,無,8950000,48256,,0.0,0,本買賣總價895萬，包括土2建1增建部分:一樓前後增建、二樓陽台外推、四樓後方採光罩,RPSNMLLLKHMFFCL48CA
梧棲區,房地(土地+建物)+車位,臺中市梧棲區四維路85巷1~30號,26.03,住,,,1060108,土地2建物1車位1,四層,八層,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,0820217,152.67,3,2,2,有,無,3600000,23580,坡道平面,0.0,0,,RPQOMLOLKHMFFCL68CA
沙鹿區,房地(土地+建物),臺中市沙鹿區自強路545巷35弄31~60號,122.24,住,,,1060206,土地4建物1車位0,全,四層,透天厝,見其他登記事項,鋼筋混凝土造,1050604,244.98,6,2,6,有,無,14460000,59025,,0.0,0,,RPVOMLOLKHMFFCL56CA
沙鹿區,房地(土地+建物),臺中市沙鹿區自強路545巷35弄31~60號,112.91,住,,,1060104,土地4建物1車位0,全,四層,透天厝,見其他登記事項,鋼筋混凝土造,1050604,244.9,6,2,6,有,無,12800000,52266,,0.0,0,,RPWOMLOLKHMFFCL66CA
梧棲區,房地(土地+建物)+車位,臺中市梧棲區大仁路二段391~420號,16.38,商,,,1040302,土地1建物1車位1,五層,十二層,住宅大樓(11層含以上有電梯),見其他登記事項,鋼筋混凝土造,1051130,155.45999999999998,3,2,2,有,有,5710000,36730,坡道平面,0.0,0,,RPSNMLMJLHMFFCL48CA
梧棲區,房地(土地+建物)+車位,臺中市梧棲區大仁路二段361~390號,20.79,商,,,1031109,土地1建物1車位1,四層,十二層,住宅大樓(11層含以上有電梯),見其他登記事項,鋼筋混凝土造,1051130,197.86,3,2,2,有,有,7190000,36339,坡道平面,0.0,0,,RPTNMLMJLHMFFCL58CA
梧棲區,房地(土地+建物)+車位,臺中市梧棲區大仁路二段361~390號,18.48,商,,,1031003,土地1建物1車位1,九層,十二層,住宅大樓(11層含以上有電梯),見其他登記事項,鋼筋混凝土造,1051130,177.13,3,2,2,有,有,6390000,36075,坡道平面,0.0,0,,RPTOMLOJLHMFFCL88CA
梧棲區,房地(土地+建物)+車位,臺中市梧棲區大仁路二段391~420號,18.06,商,,,1040428,土地1建物1車位1,六層,十二層,住宅大樓(11層含以上有電梯),見其他登記事項,鋼筋混凝土造,1051130,171.04,3,2,2,有,有,6410000,37477,坡道平面,0.0,0,,RPTNMLSJLHMFFCL56CA
梧棲區,房地(土地+建物)+車位,臺中市梧棲區大仁路二段361~390號,17.85,商,,,1040116,土地1建物1車位1,十二層,十二層,住宅大樓(11層含以上有電梯),見其他登記事項,鋼筋混凝土造,1051130,169.07,3,2,2,有,有,6280000,37144,坡道平面,0.0,0,,RPUNMLSJLHMFFCL66CA
梧棲區,房地(土地+建物)+車位,臺中市梧棲區大仁路二段361~390號,17.85,商,,,1040209,土地1建物1車位1,五層,十二層,住宅大樓(11層含以上有電梯),見其他登記事項,鋼筋混凝土造,1051130,169.07,3,2,2,有,有,6280000,37144,坡道平面,0.0,0,,RPVNMLSJLHMFFCL76CA
梧棲區,房地(土地+建物)+車位,臺中市梧棲區大仁路二段361~390號,20.79,商,,,1040211,土地1建物1車位1,十一層,十二層,住宅大樓(11層含以上有電梯),見其他登記事項,鋼筋混凝土造,1051130,197.86,3,2,2,有,有,7340000,37097,坡道平面,0.0,0,,RPWNMLSJLHMFFCL86CA
梧棲區,房地(土地+建物),臺中市梧棲區大仁路二段361~390號,15.75,商,,,1031020,土地1建物1車位0,二層,十二層,住宅大樓(11層含以上有電梯),見其他登記事項,鋼筋混凝土造,1051130,139.72,3,2,2,有,有,5300000,37933,,0.0,0,,RPUNMLOJLHMFFCL88CA
