編號,屋齡,建物移轉面積平方公尺,主要用途,主要建材,建築完成日期,總層數,建物分層
RPUOMLNJLHMFFAD87CA,21,226.54,見其他登記事項,鋼筋混凝土造,84年11月14日,四層,一層 二層 三層 四層 屋頂突出物 夾層
RPQNMLMJLHMFFAD27CA,13,144.45,見其他登記事項,鋼筋混凝土造,92年11月6日,十二層,一層
RPQNMLMJLHMFFAD27CA,13,24.20,共有部分,鋼筋混凝土造,92年11月6日,十二層,
RPQNMLMJLHMFFAD27CA,13,56.49,共有部分,鋼筋混凝土造,92年11月6日,十二層,
RPUNMLQJLHMFFAD08CA,23,19.74,住家用,鋼筋混凝土造,83年8月2日,六層,三層
RPUNMLQJLHMFFAD08CA,23,6.63,共有部分,鋼筋混凝土造,83年8月2日,六層,
RPUNMLQJLHMFFAD08CA,23,3.45,共有部分,鋼筋混凝土造,83年8月2日,六層,
RPTOMLOLKHMFFAD97CA,23,66.87,住家用,鋼筋混凝土造,82年9月20日,六層,三層
RPTOMLOLKHMFFAD97CA,23,17.69,共有部分,鋼筋混凝土造,82年9月20日,六層,
RPQNMLTKKHMFFAD97CA,13,91.60,見其他登記事項,鋼筋混凝土造,93年5月21日,十一層,八層
RPQNMLTKKHMFFAD97CA,13,41.97,共有部分,鋼筋混凝土造,93年5月21日,十一層,
RPUNMLKLKHMFFAD57CA,10,92.70,見其他登記事項,見其他登記事項,96年1月11日,十四層,十一層
RPUNMLKLKHMFFAD57CA,10,13.21,共有部分,見其他登記事項,96年1月11日,14,
RPUNMLKLKHMFFAD57CA,10,48.49,共有部分,見其他登記事項,96年1月11日,十四層,
RPUNMLMLKHMFFAD77CA,7,201.39,見其他登記事項,鋼筋混凝土造,99年4月19日,四層,一層 二層 三層 四層
RPTOMLQJLHMFFAD08CA,3,169.70,住家用,見其他登記事項,103年1月16日,四層,一層 二層 三層 四層
RPQPMLNJLHMFFAD57CA,53,125.26,住家用,加強磚造,52年12月31日,二層,一層 二層
RPRPMLNJLHMFFAD67CA,36,94.61,住家用,加強磚造,69年12月24日,二層,一層 二層 屋頂突出物
RPWNMLMJLHMFFAD87CA,1,87.67,見其他登記事項,見其他登記事項,104年11月5日,二十四層,二十一層
RPWNMLMJLHMFFAD87CA,1,69.93,見其他登記事項,見其他登記事項,104年11月5日,二十四層,
RPSOMLPKLHMFFAD97CA,1,9.11,見其他登記事項,見其他登記事項,105年5月9日,五層,
RPSOMLPKLHMFFAD97CA,1,55.81,見其他登記事項,見其他登記事項,105年5月9日,五層,五層
RPSOMLPKLHMFFAD97CA,1,27.21,見其他登記事項,見其他登記事項,105年5月9日,五層,
RPROMLNKLHMFFAD67CA,9,442.72,住家用,鋼筋混凝土造,96年6月27日,四層,一層 二層 三層 四層 屋頂突出物
RPQQMLPKLHMFFAD97CA,31,87.02,住家用,鋼筋混凝土造,74年8月22日,九層,五層
RPQQMLPKLHMFFAD97CA,31,32.22,共有部分,鋼筋混凝土造,74年8月22日,九層,
RPWNMLKLLHMFFAD87CA,32,35.85,住家用,鋼筋混凝土造,73年12月28日,十四層,九層
RPWNMLKLLHMFFAD87CA,32,12.05,共有部分,鋼筋混凝土造,73年12月28日,十四層,
RPWNMLKLLHMFFAD87CA,32,35.85,住家用,鋼筋混凝土造,73年12月28日,十四層,九層
RPWNMLKLLHMFFAD87CA,32,12.05,共有部分,鋼筋混凝土造,73年12月28日,十四層,
RPWNMLKLLHMFFAD87CA,32,35.85,住家用,鋼筋混凝土造,73年12月28日,十四層,十層
RPWNMLKLLHMFFAD87CA,32,14.04,共有部分,鋼筋混凝土造,73年12月28日,十四層,
RPSOMLKLLHMFFAD57CA,22,190.59,住家用,鋼筋混凝土造,84年5月17日,四層,一層 二層 三層 四層 屋頂突出物 騎樓
RPUNMLOLKHMFFBD08CA,1,153.44,住家用,鋼筋混凝土造,105年3月3日,三層,一層 二層 三層 屋頂突出物
RPUNMLLJLHMFFBD67CA,1,252.70,住家用,鋼筋混凝土造,105年1月19日,四層,一層 二層 三層 四層
RPUPMLOLKHMFFCD38CA,31,151.12,住家用,鋼筋混凝土構造,74年10月28日,七層,七層
RPUPMLOLKHMFFCD38CA,31,36.30,共有部分,鋼筋混凝土構造,74年10月28日,七層,
RPQNMLNJLHMFFCD57CA,4,96.56,見其他登記事項,鋼筋混凝土構造,101年10月5日,四層,一層 二層 三層 四層 見其他登記事項
RPPNMLQJLHMFFCD77CA,25,88.72,住家用,鋼筋混凝土構造,81年6月1日,六層,六層
RPPNMLQJLHMFFCD77CA,25,16.60,共有部分,鋼筋混凝土構造,81年6月1日,六層,
RPPNMLQJLHMFFCD77CA,25,10.49,共有部分,鋼筋混凝土構造,81年6月1日,六層,
RPPNMLQJLHMFFCD77CA,25,10.92,商業用,鋼筋混凝土構造,81年6月1日,六層,地下層
RPPNMLQJLHMFFCD77CA,25,1.07,共有部分,鋼筋混凝土構造,81年6月1日,六層,
RPTOMLRJLHMFFCD38CA,25,74.71,住家用,鋼筋混凝土構造,81年5月9日,六層,二層
RPTOMLRJLHMFFCD38CA,25,33.72,共有部分,鋼筋混凝土構造,81年5月9日,六層,
RPOOMLQJLHMFFCD77CA,36,90.84,住家用,加強磚造,70年3月9日,二層,一層 二層
RPUNMLRJLHMFFCD38CA,,306.72,見其他登記事項,鋼筋混凝土構造,105年8月10日,五層,一層 二層 三層 四層 五層 屋頂突出物
RPWNMLRJLHMFFCD58CA,,257.06,見其他登記事項,鋼筋混凝土構造,105年8月10日,五層,一層 二層 三層 四層 五層 屋頂突出物
RPRNMLPKLHMFFFR07CA,,87.37,見其他登記事項,見其他登記事項,105年11月22日,十四層,八層
RPRNMLPKLHMFFFR07CA,,65.48,見其他登記事項,見其他登記事項,105年11月22日,十四層,
RPSNMLPKLHMFFFR17CA,,86.25,見其他登記事項,見其他登記事項,105年11月22日,十四層,五層
RPSNMLPKLHMFFFR17CA,,37.00,見其他登記事項,見其他登記事項,105年11月22日,十四層,
RPTNMLPKLHMFFFR27CA,,86.25,見其他登記事項,見其他登記事項,105年11月22日,十四層,六層
RPTNMLPKLHMFFFR27CA,,37.00,見其他登記事項,見其他登記事項,105年11月22日,十四層,
RPUNMLPKLHMFFFR37CA,,95.25,見其他登記事項,見其他登記事項,105年11月22日,十四層,七層
RPUNMLPKLHMFFFR37CA,,68.95,見其他登記事項,見其他登記事項,105年11月22日,十四層,
RPVNMLPKLHMFFFR47CA,,95.25,見其他登記事項,見其他登記事項,105年11月22日,十四層,六層
RPVNMLPKLHMFFFR47CA,,68.95,見其他登記事項,見其他登記事項,105年11月22日,十四層,
RPWNMLPKLHMFFFR57CA,,95.25,見其他登記事項,見其他登記事項,105年11月22日,十四層,九層
RPWNMLPKLHMFFFR57CA,,68.95,見其他登記事項,見其他登記事項,105年11月22日,十四層,
RPXNMLPKLHMFFFR67CA,,87.37,見其他登記事項,見其他登記事項,105年11月22日,十四層,十一層
RPXNMLPKLHMFFFR67CA,,65.48,見其他登記事項,見其他登記事項,105年11月22日,十四層,
RPROMLNJLHMFFFR86CA,33,74.66,住家用,加強磚造,72年7月27日,二層,一層 二層
RPQNMLNJLHMFFFR66CA,40,91.20,住家用,加強磚造,65年9月1日,二層,一層 二層 騎樓
RPPPMLMLKHMFFHR96CA,,77.11,見其他登記事項,見其他登記事項,105年9月13日,五層,一層
RPPPMLMLKHMFFHR96CA,,12.18,見其他登記事項,見其他登記事項,105年9月13日,五層,
RPSNMLLJLHMFFHR86CA,7,203.27,住家用,鋼筋混凝土造,99年1月22日,三層,一層 二層 三層 屋頂突出物 騎樓
RPSOMLOLKHMFFHR37CA,,81.01,住家用,見其他登記事項,105年10月20日,十四層,八層
RPSOMLOLKHMFFHR37CA,,54.63,見其他登記事項,見其他登記事項,105年10月20日,十四層,
RPSOMLOLKHMFFHR37CA,,17.24,見其他登記事項,見其他登記事項,105年10月20日,十四層,
RPTOMLOLKHMFFHR47CA,,81.01,住家用,見其他登記事項,105年10月20日,十四層,九層
RPTOMLOLKHMFFHR47CA,,54.63,見其他登記事項,見其他登記事項,105年10月20日,十四層,
RPTOMLOLKHMFFHR47CA,,17.24,見其他登記事項,見其他登記事項,105年10月20日,十四層,
RPUOMLOLKHMFFHR57CA,,87.17,住家用,見其他登記事項,105年10月20日,十四層,十層
RPUOMLOLKHMFFHR57CA,,56.14,見其他登記事項,見其他登記事項,105年10月20日,十四層,
RPUOMLOLKHMFFHR57CA,,18.57,見其他登記事項,見其他登記事項,105年10月20日,十四層,
RPVOMLOLKHMFFHR67CA,,51.69,住家用,見其他登記事項,105年10月20日,十四層,十二層
RPVOMLOLKHMFFHR67CA,,47.30,見其他登記事項,見其他登記事項,105年10月20日,十四層,
RPVOMLOLKHMFFHR67CA,,10.94,見其他登記事項,見其他登記事項,105年10月20日,十四層,
RPWOMLOLKHMFFHR77CA,,46.96,住家用,見其他登記事項,105年10月20日,十四層,十四層
RPWOMLOLKHMFFHR77CA,,11.72,見其他登記事項,見其他登記事項,105年10月20日,十四層,
RPWOMLOLKHMFFHR77CA,,10.08,見其他登記事項,見其他登記事項,105年10月20日,十四層,
RPXOMLOLKHMFFHR87CA,,81.01,住家用,見其他登記事項,105年10月20日,十四層,十層
RPXOMLOLKHMFFHR87CA,,54.63,見其他登記事項,見其他登記事項,105年10月20日,十四層,
RPXOMLOLKHMFFHR87CA,,17.24,見其他登記事項,見其他登記事項,105年10月20日,十四層,
RPROMLNKLHMFFER86CA,36,105.21,住家用,加強磚造,69年11月1日,二層,一層 二層 騎樓
RPROMLNLKHMFFFR96CA,4,185.09,住家用,鋼筋混凝土造,102年5月16日,四層,一層 二層 三層 四層
RPOPMLNLKHMFFFR76CA,9,8.04,見其他登記事項,鋼筋混凝土造,96年9月20日,四層,三層
RPOPMLNLKHMFFFR76CA,9,1.01,共有部分,鋼筋混凝土造,96年9月20日,四層,
RPOPMLNLKHMFFFR76CA,9,5.10,共有部分,鋼筋混凝土造,96年9月20日,四層,
RPTNMLLLKHMFFDR66CA,1,191.76,住家用,鋼筋混凝土造,104年12月8日,三層,一層 二層 三層 屋頂突出物
RPUNMLRJLHMFFCR17CA,25,164.12,住家用,鋼筋混凝土造,81年7月14日,三層,一層 二層 三層
RPQNMLOLKHMFFDR76DA,21,55.22,住家用,鋼筋混凝土造,85年7月12日,七層,四層
RPQNMLOLKHMFFDR76DA,21,16.48,共有部分,鋼筋混凝土造,85年7月12日,七層,
RPPNMLQJLHMFFHR17DA,37,94.44,住家用,加強磚造,68年11月1日,二層,一層 二層
RPPNMLNLKHMFFDR56DA,20,106.45,住家用,鋼筋混凝土造,85年9月16日,十三層,十層
RPPNMLNLKHMFFDR56DA,20,10.92,共有部分,鋼筋混凝土造,85年9月16日,十三層,
RPPNMLNLKHMFFDR56DA,20,10.25,共有部分,鋼筋混凝土造,85年9月16日,十三層,
RPQNMLLLKHMFFER56DA,12,345.75,見其他登記事項,鋼筋混凝土造,94年5月23日,四層,一層 二層 三層 四層 屋頂突出物
RPXNMLMLKHMFFER37DA,20,263.75,住商用,鋼筋混凝土造,85年9月4日,四層,一層 二層 三層 四層 屋頂突出物 騎樓
RPVNMLLLKHMFFCR86DA,22,420.97,住家用,鋼筋混凝土造,83年9月12日,四層,一層 二層 三層 四層 騎樓
RPQOMLRJLHMFFHR37CA,22,40.48,見其他登記事項,鋼筋混凝土造,84年3月31日,十五層,九層
RPQOMLRJLHMFFHR37CA,22,8.86,共有部分,鋼筋混凝土造,84年3月31日,十五層,
RPQOMLRJLHMFFHR37CA,22,37.44,共有部分,鋼筋混凝土造,84年3月31日,十五層,
RPRNMLLJLHMFFCD57DA,4,217.61,住家用,鋼筋混凝土構造,102年3月1日,四層,一層 二層 三層 四層 見其他登記事項
RPWNMLKLKHMFFCD08DA,19,62.16,住家用,鋼筋混凝土構造,86年9月8日,八層,三層
RPWNMLKLKHMFFCD08DA,19,5.53,共有部分,鋼筋混凝土構造,86年9月8日,八層,
RPWNMLKLKHMFFCD08DA,19,20.45,共有部分,鋼筋混凝土構造,86年9月8日,八層,
RPWNMLKLKHMFFCD08DA,19,.18,見其他登記事項,鋼筋混凝土構造,86年9月8日,八層,一層
RPWNMLKLKHMFFCD08DA,19,.02,共有部分,鋼筋混凝土構造,86年9月8日,八層,
RPWNMLKLKHMFFCD08DA,19,.06,共有部分,鋼筋混凝土構造,86年9月8日,八層,
RPWNMLKLKHMFFCD08DA,19,13.97,共有部分,鋼筋混凝土構造,86年9月8日,八層,
RPQPMLPKLHMFFAD97DA,21,54.75,住家用,鋼筋混凝土造,84年7月29日,十七層,五層
RPQPMLPKLHMFFAD97DA,21,14.48,共有部分,鋼筋混凝土造,84年7月29日,十七層,
RPQPMLPKLHMFFAD97DA,21,.04,見其他登記事項,鋼筋混凝土造,84年7月29日,十七層,地下二層
RPQPMLPKLHMFFAD97DA,21,34.35,共有部分,鋼筋混凝土造,84年7月29日,十七層,
RPPNMLMJLHMFFAD27DA,36,158.85,住商用,鋼筋混凝土造,70年5月21日,四層,一層 二層 三層 四層 屋頂突出物 地下層
RPOOMLKLLHMFFAD27DA,27,21.58,住家用,鋼筋混凝土造,79年5月18日,五層,四層 通道
RPOOMLKLLHMFFAD27DA,27,3.10,共有部分,鋼筋混凝土造,79年5月18日,五層,
RPOPMLNLKHMFFCD77DA,32,192.06,住商用,鋼筋混凝土構造,73年10月17日,四層,一層 二層 三層 四層
RPROMLRJLHMFFHR47CA,22,40.48,見其他登記事項,鋼筋混凝土造,84年3月31日,十五層,九層
RPROMLRJLHMFFHR47CA,22,8.86,共有部分,鋼筋混凝土造,84年3月31日,十五層,
RPROMLRJLHMFFHR47CA,22,37.44,共有部分,鋼筋混凝土造,84年3月31日,十五層,
RPRNMLTJLHMFFHR57CA,17,26.45,共有部分,鋼筋混凝土造,88年8月24日,十四層,
RPTNMLLJLHMFFCR56DA,,207.77,住家用,見其他登記事項,105年10月20日,三層,一層 二層 三層 屋頂突出物
RPUNMLLJLHMFFCR66DA,,185.74,住家用,見其他登記事項,105年10月20日,三層,一層 二層 三層 屋頂突出物
RPRQMLMLKHMFFHR37DA,24,78.51,住家用,鋼筋混凝土造,81年11月6日,十層,五層
RPRQMLMLKHMFFHR37DA,24,23.91,共有部分,鋼筋混凝土造,81年11月6日,十層,
RPUOMLMLKHMFFFR27DA,23,59.63,住家用,鋼筋混凝土造,83年7月6日,七層,一層
RPUOMLMLKHMFFFR27DA,23,4.96,共有部分,鋼筋混凝土造,83年7月6日,七層,
RPQNMLMLKHMFFER56CA,1,200.33,住家用,鋼筋混凝土造,105年1月29日,三層,一層 二層 三層 屋頂突出物 見其他登記事項
RPVNMLOKLHMFFDR17CA,22,141.58,住家用,鋼筋混凝土造,83年12月2日,四層,一層 二層 三層 四層
RPWOMLMLKHMFFER27CA,32,57.74,住商用,鋼筋混凝土造,74年2月28日,三層,一層 二層 三層 騎樓
RPXNMLOLKHMFFFR57CA,2,211.16,見其他登記事項,鋼筋混凝土造,104年7月15日,四層,一層 二層 三層 四層
RPRNMLTJLHMFFER27CA,1,53.79,見其他登記事項,鋼筋混凝土造,105年5月11日,七層,七層
RPRNMLTJLHMFFER27CA,1,28.64,見其他登記事項,鋼筋混凝土造,105年5月11日,七層,
RPXNMLQJLHMFFER57CA,,71.11,見其他登記事項,鋼筋混凝土造,105年7月27日,十五層,十層
RPXNMLQJLHMFFER57CA,,31.83,見其他登記事項,鋼筋混凝土造,105年7月27日,十五層,
RPXNMLNJLHMFFER27CA,23,195.68,住商用,鋼筋混凝土造,82年8月9日,四層,一層 二層 三層 四層 騎樓
RPQOMLNLKHMFFHR07CA,23,68.65,住家用,鋼筋混凝土造,83年3月28日,七層,三層
RPQOMLNLKHMFFHR07CA,23,26.21,共有部分,鋼筋混凝土造,83年3月28日,七層,
RPRNMLOLKHMFFHR17CA,20,89.48,見其他登記事項,鋼筋混凝土造,86年1月28日,十九層,四層
RPRNMLOLKHMFFHR17CA,20,10.27,共有部分,鋼筋混凝土造,86年1月28日,十九層,
RPRNMLOLKHMFFHR17CA,20,16.84,共有部分,鋼筋混凝土造,86年1月28日,十九層,
RPSNMLOLKHMFFHR27CA,1,133.08,住家用,見其他登記事項,105年5月12日,二十層,八層
RPSNMLOLKHMFFHR27CA,1,82.19,見其他登記事項,見其他登記事項,105年5月12日,二十層,
RPUNMLKLKHMFFHR07CA,1,49.25,住家用,見其他登記事項,105年2月1日,五層,三層
