編號,屋齡,建物移轉面積平方公尺,主要用途,主要建材,建築完成日期,總層數,建物分層
RPROMLKLKHMFFFK58CA,,159.71,見其他登記事項,鋼筋混凝土造,105年11月11日,十四層,六層
RPROMLKLKHMFFFK58CA,,105.57,見其他登記事項,鋼筋混凝土造,105年11月11日,十四層,
RPROMLKLKHMFFFK58CA,,38.50,見其他登記事項,鋼筋混凝土造,105年11月11日,十四層,
RPSOMLKLKHMFFFK68CA,,122.48,見其他登記事項,鋼筋混凝土造,105年11月11日,十四層,六層
RPSOMLKLKHMFFFK68CA,,62.64,見其他登記事項,鋼筋混凝土造,105年11月11日,十四層,
RPSOMLKLKHMFFFK68CA,,18.49,見其他登記事項,鋼筋混凝土造,105年11月11日,十四層,
RPTOMLKLKHMFFFK78CA,,122.48,見其他登記事項,鋼筋混凝土造,105年11月11日,十四層,七層
RPTOMLKLKHMFFFK78CA,,62.64,見其他登記事項,鋼筋混凝土造,105年11月11日,十四層,
RPTOMLKLKHMFFFK78CA,,18.49,見其他登記事項,鋼筋混凝土造,105年11月11日,十四層,
RPUOMLKLKHMFFFK88CA,,122.55,見其他登記事項,鋼筋混凝土造,105年11月11日,十四層,十三層
RPUOMLKLKHMFFFK88CA,,62.71,見其他登記事項,鋼筋混凝土造,105年11月11日,十四層,
RPUOMLKLKHMFFFK88CA,,18.49,見其他登記事項,鋼筋混凝土造,105年11月11日,十四層,
RPVOMLKLKHMFFFK98CA,,158.09,見其他登記事項,鋼筋混凝土造,105年11月11日,十四層,十四層
RPVOMLKLKHMFFFK98CA,,103.21,見其他登記事項,鋼筋混凝土造,105年11月11日,十四層,
RPVOMLKLKHMFFFK98CA,,30.43,見其他登記事項,鋼筋混凝土造,105年11月11日,十四層,
RPWOMLKLKHMFFFK09CA,,122.55,見其他登記事項,鋼筋混凝土造,105年11月11日,十四層,二層
RPWOMLKLKHMFFFK09CA,,92.85,見其他登記事項,鋼筋混凝土造,105年11月11日,十四層,
RPWOMLKLKHMFFFK09CA,,18.50,見其他登記事項,鋼筋混凝土造,105年11月11日,十四層,
RPSNMLNJLHMFFFK78CA,8,374.91,見其他登記事項,見其他登記事項,97年7月21日,3,一層 二層 三層
RPQNMLOKLHMFFFK78CA,32,152.60,住家用,加強磚造,74年5月15日,二層,一層 二層 夾層
